Pound,はたく,拍击,拍擊,拍击,拍擊,拍击,拍擊
Karate Chop,からてチョップ,空手劈,空手劈,手刀,手刀,空手劈,空手劈
Double Slap,おうふくビンタ,连环巴掌,連環巴掌,连环巴掌,連環巴掌,连环巴掌,連環巴掌
Comet Punch,れんぞくパンチ,连续拳,連續拳,连续拳,連續拳,连续拳,連續拳
Mega Punch,メガトンパンチ,百万吨重拳,百萬噸重拳,百万吨拳击,百萬噸拳擊,百万吨重拳,百萬噸重拳
Pay Day,ネコにこばん,聚宝功,聚寶功,聚宝功,聚寶功,聚宝功,聚寶功
Fire Punch,ほのおのパンチ,火焰拳,火焰拳,火焰拳,火焰拳,火焰拳,火焰拳
Ice Punch,れいとうパンチ,冰冻拳,冰凍拳,急冻拳,急凍拳,冰冻拳,冰凍拳
Thunder Punch,かみなりパンチ,雷电拳,雷電拳,雷光掌,雷光掌,雷电拳,雷電拳
Scratch,ひっかく,抓,抓,利爪,利爪,抓,抓
Vice Grip,はさむ,夹住,夾住,剪断,剪斷,夹住,夾住
Guillotine,ハサミギロチン,断头钳,斷頭鉗,剪刀断头台,剪刀斷頭臺,断头钳,斷頭鉗
Razor Wind,かまいたち,旋风刀,旋風刀,旋风刀,旋風刀,旋风刀,旋風刀
Swords Dance,つるぎのまい,剑舞,劍舞,剑舞,劍舞,剑舞,劍舞
Cut,いあいぎり,居合斩,居合斬,一字斩,一字斬,居合斩,居合斬
Gust,かぜおこし,起风,起風,烈暴风,烈暴風,起风,起風
Wing Attack,つばさでうつ,翅膀攻击,翅膀攻擊,翅膀攻击,翅膀攻擊,翅膀攻击,翅膀攻擊
Whirlwind,ふきとばし,吹飞,吹飛,旋风,旋風,吹飞,吹飛
Fly,そらをとぶ,飞翔,飛翔,飞翔,飛翔,飞翔,飛翔
Bind,しめつける,绑紧,綁緊,绑紧,綁緊,绑紧,綁緊
Slam,たたきつける,摔打,摔打,叩打,叩打,摔打,摔打
Vine Whip,つるのムチ,藤鞭,藤鞭,藤鞭,藤鞭,藤鞭,藤鞭
Stomp,ふみつけ,踩踏,踩踏,践踏,踐踏,踩踏,踩踏
Double Kick,にどげり,二连踢,二連踢,连环腿,連環腿,二连踢,二連踢
Mega Kick,メガトンキック,百万吨重踢,百萬噸重踢,百万吨飞腿,百萬噸飛腿,百万吨重踢,百萬噸重踢
Jump Kick,とびげり,飞踢,飛踢,飞踢,飛踢,飞踢,飛踢
Rolling Kick,まわしげり,回旋踢,迴旋踢,旋风腿,旋風腿,回旋踢,迴旋踢
Sand Attack,すなかけ,泼沙,潑沙,飞沙脚,飛沙腳,泼沙,潑沙
Headbutt,ずつき,头锤,頭錘,铁头功,鐵頭功,头锤,頭錘
Horn Attack,つのでつく,角撞,角撞,角撞,角撞,角撞,角撞
Fury Attack,みだれづき,乱击,亂擊,疯狂攻击,瘋狂攻擊,乱击,亂擊
Horn Drill,つのドリル,角钻,角鑽,独角钻,獨角鑽,角钻,角鑽
Tackle,たいあたり,撞击,撞擊,冲击,衝擊,撞击,撞擊
Body Slam,のしかかり,泰山压顶,泰山壓頂,泰山压顶,泰山壓頂,泰山压顶,泰山壓頂
Wrap,まきつく,紧束,緊束,捆绑,捆綁,紧束,緊束
Take Down,とっしん,猛撞,猛撞,猛撞,猛撞,猛撞,猛撞
Thrash,あばれる,大闹一番,大鬧一番,横冲直撞,橫衝直撞,大闹一番,大鬧一番
Double-Edge,すてみタックル,舍身冲撞,捨身衝撞,舍身攻击,捨身攻擊,舍身冲撞,捨身衝撞
Tail Whip,しっぽをふる,摇尾巴,搖尾巴,摇尾巴,搖尾巴,摇尾巴,搖尾巴
Poison Sting,どくばり,毒针,毒針,毒针,毒針,毒针,毒針
Twineedle,ダブルニードル,双针,雙針,双针,雙針,双针,雙針
Pin Missile,ミサイルばり,飞弹针,飛彈針,飞弹针,飛彈針,飞弹针,飛彈針
Leer,にらみつける,瞪眼,瞪眼,瞪眼,瞪眼,瞪眼,瞪眼
Bite,かみつく,咬住,咬住,咬咬,咬咬,咬住,咬住
Growl,なきごえ,叫声,叫聲,嚎叫,嚎叫,叫声,叫聲
Roar,ほえる,吼叫,吼叫,吼叫,吼叫,吼叫,吼叫
Sing,うたう,唱歌,唱歌,唱歌,唱歌,唱歌,唱歌
Supersonic,ちょうおんぱ,超音波,超音波,超音波,超音波,超音波,超音波
Sonic Boom,ソニックブーム,音爆,音爆,音爆,音爆,音爆,音爆
Disable,かなしばり,定身法,定身法,石化功,石化功,定身法,定身法
Acid,ようかいえき,溶解液,溶解液,溶解液,溶解液,溶解液,溶解液
Ember,ひのこ,火花,火花,火花,火花,火花,火花
Flamethrower,かえんほうしゃ,喷射火焰,噴射火焰,喷射火焰,噴射火焰,喷射火焰,噴射火焰
Mist,しろいきり,白雾,白霧,白雾,白霧,白雾,白霧
Water Gun,みずでっぽう,水枪,水槍,水枪,水槍,水枪,水槍
Hydro Pump,ハイドロポンプ,水炮,水炮,水炮,水炮,水炮,水炮
Surf,なみのり,冲浪,衝浪,冲浪,衝浪,冲浪,衝浪
Ice Beam,れいとうビーム,冰冻光束,冰凍光束,急冻光线,急凍光線,冰冻光束,冰凍光束
Blizzard,ふぶき,暴风雪,暴風雪,暴风雪,暴風雪,暴风雪,暴風雪
Psybeam,サイケこうせん,幻象光线,幻象光線,幻象光,幻象光,幻象光线,幻象光線
Bubble Beam,バブルこうせん,泡沫光线,泡沫光線,泡沫光线,泡沫光線,泡沫光线,泡沫光線
Aurora Beam,オーロラビーム,极光束,極光束,极光束,極光束,极光束,極光束
Hyper Beam,はかいこうせん,破坏光线,破壞光線,破坏死光,破壞死光,破坏光线,破壞光線
Peck,つつく,啄,啄,啄,啄,啄,啄
Drill Peck,ドリルくちばし,啄钻,啄鑽,冲钻,衝鑽,啄钻,啄鑽
Submission,じごくぐるま,地狱翻滚,地獄翻滾,地狱滚动,地獄滾動,地狱翻滚,地獄翻滾
Low Kick,けたぐり,踢倒,踢倒,下踢,下踢,踢倒,踢倒
Counter,カウンター,双倍奉还,雙倍奉還,返拳,返拳,双倍奉还,雙倍奉還
Seismic Toss,ちきゅうなげ,地球上投,地球上投,地球上投,地球上投,地球上投,地球上投
Strength,かいりき,怪力,怪力,劲力,勁力,怪力,怪力
Absorb,すいとる,吸取,吸取,吸收,吸收,吸取,吸取
Mega Drain,メガドレイン,超级吸取,超級吸取,百万吨吸收,百萬噸吸收,超级吸取,超級吸取
Leech Seed,やどりぎのタネ,寄生种子,寄生種子,寄生种子,寄生種子,寄生种子,寄生種子
Growth,せいちょう,生长,生長,生长,生長,生长,生長
Razor Leaf,はっぱカッター,飞叶快刀,飛葉快刀,飞叶快刀,飛葉快刀,飞叶快刀,飛葉快刀
Solar Beam,ソーラービーム,日光束,日光束,阳光烈焰,陽光烈焰,日光束,日光束
Poison Powder,どくのこな,毒粉,毒粉,毒粉末,毒粉末,毒粉,毒粉
Stun Spore,しびれごな,麻痹粉,麻痺粉,麻痹粉,麻痺粉,麻痹粉,麻痺粉
Sleep Powder,ねむりごな,催眠粉,催眠粉,睡眠粉,睡眠粉,催眠粉,催眠粉
Petal Dance,はなびらのまい,花瓣舞,花瓣舞,花之舞,花之舞,花瓣舞,花瓣舞
String Shot,いとをはく,吐丝,吐絲,吐丝,吐絲,吐丝,吐絲
Dragon Rage,りゅうのいかり,龙之怒,龍之怒,龙之怒,龍之怒,龙之怒,龍之怒
Fire Spin,ほのおのうず,火焰旋涡,火焰旋渦,火焰漩涡,火焰漩渦,火焰漩涡,火焰漩渦
Thunder Shock,でんきショック,电击,電擊,电击,電擊,电击,電擊
Thunderbolt,１０まんボルト,十万伏特,十萬伏特,十万伏特,十萬伏特,十万伏特,十萬伏特
Thunder Wave,でんじは,电磁波,電磁波,电磁波,電磁波,电磁波,電磁波
Thunder,かみなり,打雷,打雷,打雷,打雷,打雷,打雷
Rock Throw,いわおとし,落石,落石,滚石,滾石,落石,落石
Earthquake,じしん,地震,地震,地震,地震,地震,地震
Fissure,じわれ,地裂,地裂,地裂,地裂,地裂,地裂
Dig,あなをほる,挖洞,挖洞,挖地洞,挖地洞,挖洞,挖洞
Toxic,どくどく,剧毒,劇毒,猛毒素,猛毒素,剧毒,劇毒
Confusion,ねんりき,念力,念力,念力,念力,念力,念力
