关都,カントー,Kanto
城都,ジョウト,Johto
丰缘,ホウエン,Hoenn
神奥,シンオウ,Sinnoh
七岛,ナナシマ,Sevii Islands
合众,イッシュ,Unova
卡洛斯,カロス,Kalos
欧雷,オーレ,Orre
菲蕾,フィオレ,Fiore
阿尔米亚,アルミア,Almia
奥卜利比亚,オブリビア,Oblivia
乱世,ランセ,Ransei
真新镇,マサラタウン,Pallet Town
常磐市,トキワシティ,Viridian City
尼比市,ニビシティ,Pewter City
华蓝市,ハナダシティ,Cerulean City
枯叶市,クチバシティ,Vermilion City
彩虹市,タマムシシティ,Celadon City
紫苑镇,シオンタウン,Lavender Town
金黄市,ヤマブキシティ,Saffron City
浅红市,セキチクシティ,Fuchsia City
红莲岛,グレンタウン,Cinnabar Island
若叶镇,ワカバタウン,New Bark Town
吉花市,ヨシノシティ,Cherrygrove City
桔梗市,キキョウシティ,Violet City
桧皮镇,ヒワダタウン,Azalea Town
满金市,コガネシティ,Goldenrod City
圆朱市,エンジュシティ,Ecruteak City
浅黄市,アサギシティ,Olivine City
湛蓝市,タンバシティ,Cianwood City
卡吉镇,チョウジタウン,Mahogany Town
烟墨市,フスベシティ,Blackthorn City
未白镇,ミシロタウン,Littleroot Town
古辰镇,コトキタウン,Oldale Town
橙华市,トウカシティ,Petalburg City
卡那兹市,カナズミシティ,Rustboro City
武斗镇,ムロタウン,Dewford Town
凯那市,カイナシティ,Slateport City
紫堇市,キンセツシティ,Mauville City
绿荫镇,シダケタウン,Verdanturf Town
秋叶镇,ハジツゲタウン,Fallarbor Town
釜炎镇,フエンタウン,Lavaridge Town
茵郁市,ヒワマキシティ,Fortree City
水静市,ミナモシティ,Lilycove City
绿岭市,トクサネシティ,Mossdeep City
琉璃市,ルネシティ,Sootopolis City
暮水镇,キナギタウン,Pacifidlog Town
彩幽市,サイユウシティ,Ever Grande City
双叶镇,フタバタウン,Twinleaf Town
真砂镇,マサゴタウン,Sandgem Town
祝庆市,コトブキシティ,Jubilife City
钢铁市,クロガネシティ,Oreburgh City
苑之镇,ソノオタウン,Floaroma Town
百代市,ハクタイシティ,Eterna City
缘之市,ヨスガシティ,Hearthome City
随意镇,ズイタウン,Solaceon Town
帷幕市,トバリシティ,Veilstone City
湿原市,ノモセシティ,Pastoria City
神和镇,カンナギタウン,Celestic Town
水脉市,ミオシティ,Canalave City
切锋市,キッサキシティ,Snowpoint City
滨海市,ナギサシティ,Sunyshore City
鹿子镇,カノコタウン,Nuvema Town
唐草镇,カラクサタウン,Accumula Town
三曜市,サンヨウシティ,Striaton City
七宝市,シッポウシティ,Nacrene City
飞云市,ヒウンシティ,Castelia City
雷文市,ライモンシティ,Nimbasa City
帆巴市,ホドモエシティ,Driftveil City
吹寄市,フキヨセシティ,Mistralton City
雪花市,セッカシティ,Icirrus City
金轮镇,カナワタウン,Anville Town
双龙市,ソウリュウシティ,Opelucid City
笼目镇,カゴメタウン,Lacunosa Town
小波镇,サザナミタウン,Undella Town
黑色市,ブラックシティ,Black City
桧扇市,ヒオウギシティ,Aspertia City
算木镇,サンギタウン,Floccesy Town
立涌市,タチワキシティ,Virbank City
山路镇,ヤマジタウン,Lentimas Town
青海波市,セイガイハシティ,Humilau City
朝香镇,アサメタウン,Vaniville Town
美川镇,メイスイタウン,Aquacorde Town
白檀市,ハクダンシティ,Santalune City
古木镇,コボクタウン,Camphrier Town
遥香市,ショウヨウシティ,Cyllage City
石林镇,セキタイタウン,Geosenge Town
古香镇,コウジンタウン,Ambrette Town
娑罗市,シャラシティ,Shalour City
海翼市,ヒヨクシティ,Coumarine City
密阿雷市,ミアレシティ,Lumiose City
香薰市,クノエシティ,Laverre City
雪风镇,フウジョタウン,Dendemille Town
百刻市,ヒャッコクシティ,Anistar City
