妙蛙种子,妙蛙種子,种子,種子,種子,,,,,,
妙蛙草,妙蛙草,种子,種子,種子,,,,,,
妙蛙花,妙蛙花,种子,種子,種子,,,,,,
小火龙,小火龍,蜥蜴,蜥蜴,蜥蜴,,,,,,
火恐龙,火恐龍,火焰,火焰,火焰,,,,,,
喷火龙,噴火龍,火焰,火焰,火焰,,,,,,
杰尼龟,傑尼龜,小龟,小龜,小龜,,,,,,
卡咪龟,卡咪龜,龟,龜,龜,,,,,,
水箭龟,水箭龜,甲壳,甲殼,甲殼,,,,,,
绿毛虫,綠毛蟲,虫宝宝,蟲寶寶,蟲寶寶,被鸟宝可梦袭击时会从触角中释放出臭气抵抗，但也经常会成为鸟食。,被鳥寶可夢襲擊時，會從觸角釋放出臭氣抵抗，但還是經常淪為獵物。,被鳥寶可夢襲擊時會從觸角中釋放出臭氣抵抗，但也經常會成為鳥食。,易于捕捉，成长也快。是推荐给新手训练家作为同伴的宝可梦之一。,易於捕捉，成長速度亦快。是推薦給新手訓練家作為同伴的寶可夢之一。,易於捕捉，成長也快。是推薦給新手訓練家作為夥伴的寶可夢之一。
铁甲蛹,鐵甲蛹,蛹,蛹,蛹,壳中藏着软乎乎的身体。几乎不动是为了防止身体一不留神就露出来。,殼中塞滿了軟綿綿的身體。幾乎動也不動是為了防止身體在不留神時露出來。,殼中藏著軟乎乎的身體。幾乎不動是為了防止身體一不留神就露出來。,虽说坚硬，但还是虫的外壳。因为有时也会破裂，所以禁止用于激烈的战斗。,雖說堅硬，但還是蟲的外殼。有時還是會破裂的，所以禁止用於激烈的戰鬥。,雖說堅硬，但還是蟲的外殼。因為有時也會破裂，所以禁止用於激烈的戰鬥。
巴大蝶,巴大蝶,蝴蝶,蝴蝶,蝴蝶,仔细观察那对大眼睛的话，会发现其实是许许多多小眼睛聚集在一起形成的。,仔細觀察那雙大眼睛的話，會發現那其實是由無數小眼睛聚集在一起而形成的。,仔細觀察那對大眼睛的話，會發現其實是許許多多小眼睛聚集在一起形成的。,如果被其他宝可梦袭击，就会一边挥洒有毒的鳞粉，一边拍动翅膀抵抗。,如果被其他寶可夢襲擊，就會一邊散布有毒的鱗粉，一邊拍動翅膀抵抗。,如果被其他寶可夢襲擊，就會一邊揮灑有毒的鱗粉，一邊拍動翅膀抵抗。
独角虫,獨角蟲,毛毛虫,毛毛蟲,毛毛蟲,,,,,,
铁壳蛹,鐵殼蛹,蛹,蛹,蛹,,,,,,
大针蜂,大針蜂,毒蜂,毒蜂,毒蜂,,,,,,
波波,波波,小鸟,小鳥,小鳥,,,,,,
比比鸟,比比鳥,鸟,鳥,鳥,,,,,,
大比鸟,大比鳥,鸟,鳥,鳥,,,,,,
小拉达,小拉達,鼠,鼠,鼠,门牙会终生生长，所以必须要保养。不准备好锉刀的话，会把柱子都啃掉。,門牙會終生生長，所以要隨時保養。不幫牠準備好銼刀的話，牠就會去咬柱子來磨牙。,門牙會終生生長，所以必須要保養。不準備好銼刀的話，會把柱子都啃掉。,生命力很强，即使在肮脏的地方也能坦然生活。放任不管的话会不停繁殖。,生命力很強，即使在骯髒的地方也能安然生活。放任不管的話會不停繁殖。,生命力很強，即使在骯髒的地方也能坦然生活。放任不管的話會不停繁殖。
