大师球,大師球,必定能捉到野生宝可梦的，性能最好的球。,性能最好的球。必定能捉到野生寶可夢。,必定能捉到野生寶可夢的，性能最好的球。
高级球,高級球,比起超级球来更容易捉到宝可梦的，性能非常不错的球。,性能非常不錯的球。比起超級球更容易捉到寶可夢。,比起超級球來更容易捉到寶可夢的，性能非常不錯的球。
超级球,超級球,比起精灵球来更容易捉到宝可梦的，性能还算不错的球。,性能還算不錯的球。比起精靈球更容易捉到寶可夢。,比起精靈球來更容易捉到寶可夢的，性能還算不錯的球。
精灵球,精靈球,用于投向野生宝可梦并将其捕捉的球。它是胶囊样式的。,用於投向野生寶可夢並將其捕捉的球。它是膠囊樣式的。,用於投向野生寶可夢並將其捕捉的球。它是膠囊樣式的。
狩猎球,狩獵球,仅能在大湿地中使用的特殊的球。上面有迷彩花纹。,僅能在大濕地中使用的特殊的球。上面有迷彩花紋。,僅能在大溼地中使用的特殊的球。上面有迷彩花紋。
捕网球,捕網球,有点与众不同的球。能很容易地捕捉水属性和虫属性的宝可梦。,有點與眾不同的球。能更容易地捉到水屬性和蟲屬性寶可夢。,有點與眾不同的球。能很容易地捕捉水屬性和蟲屬性的寶可夢。
潜水球,潛水球,有点与众不同的球。能很容易地捕捉生活在水世界里的宝可梦。,有點與眾不同的球。能更容易地捉到生活在水中世界的寶可夢。,有點與眾不同的球。能很容易地捕捉生活在水世界裡的寶可夢。
巢穴球,巢穴球,有点与众不同的球。捕捉的野生宝可梦越弱，就会越容易捕捉。,有點與眾不同的球。捕捉的野生寶可夢越弱，就越容易捉到。,有點與眾不同的球。捕捉的野生寶可夢越弱，就會越容易捕捉。
重复球,重複球,有点与众不同的球。能很容易地捕捉以前曾捉到过的宝可梦。,有點與眾不同的球。曾經捉到過的寶可夢會變得容易捉到。,有點與眾不同的球。能很容易地捕捉以前曾捉到過的寶可夢。
计时球,計時球,有点与众不同的球。回合数花费得越多，宝可梦就会越容易捕捉。,有點與眾不同的球。回合數花費得越多，就越容易捉到寶可夢。,有點與眾不同的球。回合數花費得越多，寶可夢就會越容易捕捉。
豪华球,豪華球,住着十分惬意的球。捉到的野生宝可梦会变得容易和训练家亲密。,住起來十分舒適的球。捉到的野生寶可夢會很容易和訓練家變得親密。,住著十分愜意的球。捉到的野生寶可夢會變得容易和訓練家親密。
