Stench,あくしゅう,恶臭,惡臭,恶臭,惡臭,恶臭,惡臭
Drizzle,あめふらし,降雨,降雨,毛毛雨,毛毛雨,降雨,降雨
Speed Boost,かそく,加速,加速,加速,加速,加速,加速
Battle Armor,カブトアーマー,战斗盔甲,戰鬥盔甲,甲虫盔甲,甲蟲盔甲,战斗盔甲,戰鬥盔甲
Sturdy,がんじょう,结实,結實,结实,結實,结实,結實
Damp,しめりけ,湿气,濕氣,湿气,濕氣,湿气,濕氣
Limber,じゅうなん,柔软,柔軟,柔软,柔軟,柔软,柔軟
Sand Veil,すながくれ,沙隐,沙隱,沙里隐身,沙裡隱身,沙隐,沙隱
Static,せいでんき,静电,靜電,静电,靜電,静电,靜電
Volt Absorb,ちくでん,蓄电,蓄電,蓄电,蓄電,蓄电,蓄電
Water Absorb,ちょすい,储水,儲水,储水,儲水,储水,儲水
Oblivious,どんかん,迟钝,遲鈍,迟钝,遲鈍,迟钝,遲鈍
Cloud Nine,ノーてんき,无关天气,無關天氣,乐天,樂天,无关天气,無關天氣
Compound Eyes,ふくがん,复眼,複眼,复眼,複眼,复眼,複眼
Insomnia,ふみん,不眠,不眠,失眠,失眠,失眠,失眠
Color Change,へんしょく,变色,變色,变色,變色,变色,變色
Immunity,めんえき,免疫,免疫,免疫,免疫,免疫,免疫
Flash Fire,もらいび,引火,引火,延烧,延燒,引火,引火
Shield Dust,りんぷん,鳞粉,鱗粉,鳞粉,鱗粉,鳞粉,鱗粉
Own Tempo,マイペース,我行我素,我行我素,我行我素,我行我素,我行我素,我行我素
Suction Cups,きゅうばん,吸盘,吸盤,吸盘,吸盤,吸盘,吸盤
Intimidate,いかく,威吓,威嚇,威吓,威嚇,威吓,威嚇
Shadow Tag,かげふみ,踩影,踩影,影子游戏,影子遊戲,踩影,踩影
Rough Skin,さめはだ,粗糙皮肤,粗糙皮膚,蛇皮,蛇皮,粗糙皮肤,粗糙皮膚
Wonder Guard,ふしぎなまもり,神奇守护,神奇守護,奇异守护,奇異守護,神奇守护,神奇守護
Levitate,ふゆう,飘浮,飄浮,漂浮,漂浮,飘浮,飄浮
Effect Spore,ほうし,孢子,孢子,孢子,孢子,孢子,孢子
Synchronize,シンクロ,同步,同步,同步,同步,同步,同步
Clear Body,クリアボディ,恒净之躯,恆淨之軀,透明体,透明體,恒净之躯,恆淨之軀
Natural Cure,しぜんかいふく,自然回复,自然回復,自然恢复,自然恢復,自然恢复,自然恢復
Lightning Rod,ひらいしん,避雷针,避雷針,避雷针,避雷針,避雷针,避雷針
Serene Grace,てんのめぐみ,天恩,天恩,天恩,天恩,天恩,天恩
Swift Swim,すいすい,悠游自如,悠游自如,轻快,輕快,悠游自如,悠游自如
Chlorophyll,ようりょくそ,叶绿素,葉綠素,叶绿素,葉綠素,叶绿素,葉綠素
Illuminate,はっこう,发光,發光,发光,發光,发光,發光
Trace,トレース,复制,複製,追踪,追蹤,复制,複製
Huge Power,ちからもち,大力士,大力士,大力士,大力士,大力士,大力士
Poison Point,どくのトゲ,毒刺,毒刺,毒刺,毒刺,毒刺,毒刺
Inner Focus,せいしんりょく,精神力,精神力,精神力,精神力,精神力,精神力
Magma Armor,マグマのよろい,熔岩铠甲,熔岩鎧甲,岩浆防护,岩漿防護,熔岩铠甲,熔岩鎧甲
Water Veil,みずのベール,水幕,水幕,水幕,水幕,水幕,水幕
Magnet Pull,じりょく,磁力,磁力,磁力,磁力,磁力,磁力
Soundproof,ぼうおん,隔音,隔音,隔音,隔音,隔音,隔音
Rain Dish,あめうけざら,雨盘,雨盤,雨盘,雨盤,雨盘,雨盤
Sand Stream,すなおこし,扬沙,揚沙,沙流,沙流,扬沙,揚沙
Pressure,プレッシャー,压迫感,壓迫感,气压,氣壓,压迫感,壓迫感
Thick Fat,あついしぼう,厚脂肪,厚脂肪,肥脂,肥脂,厚脂肪,厚脂肪
Early Bird,はやおき,早起,早起,早起,早起,早起,早起
Flame Body,ほのおのからだ,火焰之躯,火焰之軀,火焰体,火焰體,火焰之躯,火焰之軀
Run Away,にげあし,逃跑,逃跑,逃走,逃走,逃跑,逃跑
Keen Eye,するどいめ,锐利目光,銳利目光,锐利目光,銳利目光,锐利目光,銳利目光
Hyper Cutter,かいりきバサミ,怪力钳,怪力鉗,怪力剪刀,怪力剪刀,怪力钳,怪力鉗
Pickup,ものひろい,捡拾,撿拾,捡拾,撿拾,捡拾,撿拾
Truant,なまけ,懒惰,懶惰,懒惰,懶惰,懒惰,懶惰
Hustle,はりきり,活力,活力,活力,活力,活力,活力
Cute Charm,メロメロボディ,迷人之躯,迷人之軀,迷人身躯,迷人身軀,迷人之躯,迷人之軀
Plus,プラス,正电,正電,阳性,陽性,正电,正電
Minus,マイナス,负电,負電,阴性,陰性,负电,負電
Forecast,てんきや,阴晴不定,陰晴不定,天气预报,天氣預報,阴晴不定,陰晴不定
Sticky Hold,ねんちゃく,黏着,黏著,黏着,黏著,黏着,黏著
Shed Skin,だっぴ,蜕皮,蛻皮,脱皮,脫皮,蜕皮,蛻皮
Guts,こんじょう,毅力,毅力,毅力,毅力,毅力,毅力
Marvel Scale,ふしぎなうろこ,神奇鳞片,神奇鱗片,神奇鳞片,神奇鱗片,神奇鳞片,神奇鱗片
Liquid Ooze,ヘドロえき,污泥浆,污泥漿,黏液,黏液,污泥浆,污泥漿
Overgrow,しんりょく,茂盛,茂盛,茂盛,茂盛,茂盛,茂盛
Blaze,もうか,猛火,猛火,猛火,猛火,猛火,猛火
Torrent,げきりゅう,激流,激流,激流,激流,激流,激流
Swarm,むしのしらせ,虫之预感,蟲之預感,预感,預感,虫之预感,蟲之預感
Rock Head,いしあたま,坚硬脑袋,堅硬腦袋,石头,石頭,坚硬脑袋,堅硬腦袋
Drought,ひでり,日照,日照,旱灾,旱災,日照,日照
Arena Trap,ありじごく,沙穴,沙穴,狮蚁,獅蟻,沙穴,沙穴
